Hour,SoC,Reward,Loss,LoadScale
0,0.55,-0.1780796,0.10727475118239867,0.8
1,0.6,-0.122271724,0.09281427487544085,0.75
2,0.64682233,-0.09207631,0.08029192575784697,0.7
3,0.69682235,-0.090546064,0.07951897100894584,0.7
4,0.7468223,-0.122271724,0.09281427487544085,0.75
5,0.7868357,-0.2773746,0.12636228016735282,0.85
6,0.8368357,-0.4169168,0.1579262871866926,0.95
7,0.8531654,-0.6159947,0.19350996566846265,1.0
8,0.9031654,-0.6061139,0.19805299806270635,1.05
9,0.9050679,-0.87747514,0.2479183998040152,1.1
10,0.95506793,-0.8162973,0.24357310074495564,1.15
11,0.9481316,-1.1325144,0.30675425413672286,1.2
12,0.96372414,-0.9368801,0.26397112397221356,1.15
13,0.98103243,-0.8222627,0.23815982327652666,1.1
14,1.0,-0.70396847,0.21291789559086063,1.05
15,1.0,-0.5516365,0.18365539041671752,1.0
16,1.0,-0.492062,0.16883762952891773,0.95
17,1.0,-0.5077006,0.1773326081187362,1.0
18,0.95,-0.964262,0.2611280954709332,1.05
19,0.9794796,-0.77972,0.2310284979731323,1.1
20,1.0,-0.8162973,0.24357310074495564,1.15
21,1.0,-0.6061139,0.19805299806270635,1.05
22,1.0,-0.33201852,0.13980165535601313,0.9
23,0.5,-0.25124192,0.12292772508249648,0.85
