Hour,SoC,Reward,Loss,P_ESS,PV,PV_raw,Wind,GridCost,PV_Curtail,VoltageDev,SoC_Violation,ESS_DegProxy
0,0.483431853746113,-0.6654025912284851,0.05636786662615211,0.0031479477882385256,0.0,0.0,0.3,0.19822199183073508,0.0,0.04588965144419299,0.0,0.016568146253886976
1,0.4669133989434493,-0.6653857827186584,0.056368515403323556,0.0031385064125061036,0.0,0.0,0.3,0.19822300084604194,0.0,0.045890354154359936,0.0,0.0165184548026637
2,0.4503781626883306,-0.7804523706436157,0.07777819186567253,0.0031416948884725572,0.0,0.0,0.35,0.23251364950465359,0.0,0.05396710804941851,0.0,0.016535236255118723
3,0.4316362311181269,-0.8978910446166992,0.1029621963444774,0.0035609669983386995,0.0,0.0,0.4,0.2671401223390717,0.0,0.06213799841620127,0.0,0.018741931570203683
4,0.4107238297399721,-1.007733941078186,0.13171372195489023,0.003973356261849403,0.09662520326673985,0.1,0.45,0.2924615146267229,0.0033747967332601603,0.07038038420247583,0.0,0.020912401378154755
5,0.39095856288546005,-1.1089191436767578,0.16422868950405517,0.0037554007023572924,0.2899803142994642,0.3,0.5,0.30854929347754023,0.010019685700535796,0.0787481354575299,0.0,0.019765266854512065
6,0.3757016560749003,-1.2105046510696411,0.2011080922277974,0.0028988122940063477,0.48424610309302807,0.5,0.55,0.3250463176840981,0.01575389690697193,0.08731036699139016,0.0,0.015256906810559724
7,0.3649835233625612,-1.3042712211608887,0.24214083514493018,0.002036445215344429,0.7763325780630113,0.8,0.6,0.3321771811866938,0.023667421936988786,0.09596347813985784,0.0,0.0107181327123391
8,0.36194948518746767,-1.4075899124145508,0.28836149827815216,0.000576467253267765,0.9738384410738945,1.0,0.65,0.3493446589951077,0.0261615589261055,0.10488797534713801,0.0,0.0030340381750935
9,0.3630608399245446,-1.4638553857803345,0.31139135603008705,-0.0002339694183319807,0.9755665212869644,1.0,0.7,0.3651308804161033,0.024433478713035583,0.1090838778434835,0.0,0.0011113547370769081
10,0.3633063642620598,-1.402649164199829,0.2844665538907326,-5.168933421373367e-05,0.8773958444595337,0.9,0.7,0.35366223987654166,0.022604155540466353,0.10420829634362083,0.0,0.0002455243375152349
11,0.36145357569177183,-1.2278739213943481,0.21564004286981556,0.0003520298283547163,0.6818225041031837,0.7,0.65,0.3155715508938499,0.018177495896816276,0.0905922724216981,0.0,0.0018527885702879806
12,0.35622447981241784,-1.125553846359253,0.1771134253571622,0.0009935282170772553,0.48655425384640694,0.5,0.6,0.29903155880325016,0.013445746153593063,0.08198739962046653,0.0,0.0052290958793539755
13,0.3465155439273649,-1.0920943021774292,0.16132676728872486,0.0018446978181600572,0.291499338671565,0.3,0.55,0.303298269336608,0.008500661328434966,0.07813913850515775,0.0,0.009708935885052932
14,0.3312200862442534,-1.1838181018829346,0.18468940660433097,0.0029061369597911837,0.1939347118139267,0.2,0.5,0.3388598494881876,0.006065288186073298,0.08354909243677644,0.0,0.015295457683111493
15,0.31157112491353844,-1.4134676456451416,0.2574177943346545,0.003733302652835846,0.09678406678140164,0.1,0.45,0.41649004249006794,0.003215933218598366,0.09861882868407679,0.0,0.01964896133071498
16,0.28563241873512424,-1.649823784828186,0.34508047740139647,0.004928354173898697,0.0,0.0,0.4,0.4955402123227941,0.0,0.11413141877887256,0.0,0.025938706178414195
17,0.2536214050610156,-1.737390160560608,0.3811879900683557,0.006082092598080635,0.0,0.0,0.35,0.5226105897470461,0.0,0.11987740714093809,0.0,0.03201101367410861
18,0.22067499256043335,-1.60800302028656,0.32574387367893004,0.006259818375110627,0.0,0.0,0.3,0.48489840553040153,0.0,0.11066314168097724,0.0,0.032946412500582244
19,0.18955005486924675,-1.3492462635040283,0.22205733870236866,0.005913738161325455,0.0,0.0,0.3,0.40026436005410915,0.0,0.09125194915390133,0.010449945130753258,0.031124937691186603
20,0.18955005486924675,-1.1360191106796265,0.15984085536399417,0.0,0.0,0.0,0.3,0.33890908222983285,0.0,0.07762101769726748,0.010449945130753258,0.0
21,0.18955005486924675,-1.003383755683899,0.12430280716022868,0.0,0.0,0.0,0.3,0.298205279500138,0.0,0.06842785941353113,0.010449945130753258,0.0
22,0.18955005486924675,-0.8728348016738892,0.09370728761677688,0.0,0.0,0.0,0.3,0.2579957283655574,0.0,0.05939391955010198,0.010449945130753258,0.0
23,0.18955005486924675,-0.7442684769630432,0.06782515717468202,0.0,0.0,0.0,0.3,0.2182575156073483,0.0,0.05051110600995523,0.010449945130753258,0.0
