Hour,SoC,Reward,Loss,Unserved,BESS_P_MW,PV,Wind,P_grid,ConvergedPF
0,0.5019831750541925,-147.32940673828125,0.0679618151522047,1.9190841247290373,0.009915875270962715,0.0,0.3,1.9870459389267239,True
1,0.5039829494431615,-177.10491943359375,0.09397326151131358,2.2905011280551553,0.009998871944844723,0.0,0.3,2.384474386063016,True
2,0.5059793137013912,-207.65467834472656,0.1247022793468443,2.662018178708852,0.009981821291148663,0.0,0.3,2.786720447139726,True
3,0.5079721605405211,-270.0566711425781,0.2012209681699294,3.4050357658043504,0.009964234195649624,0.0,0.3,3.6062566590388316,True
4,0.5099571986123919,-319.05596923828125,0.2996023593878303,3.948074809640646,0.00992519035935402,0.2,0.3,4.247677169028464,True
5,0.5119339236989616,-329.05535888671875,0.35776007302170465,4.019616374567152,0.00988362543284893,0.5,0.3,4.377376447589097,True
6,0.5139064982533453,-339.4110107421875,0.4223605277799799,4.09113712722808,0.009862872771918774,0.8,0.3,4.51349765500836,True
7,0.5158747719600795,-291.5592956542969,0.3577688453346628,3.5196586314663296,0.009841368533670902,1.0,0.3,3.877427476801313,True
8,0.5178482023999093,-259.061279296875,0.2996131203176553,3.1481328478008512,0.009867152199149132,1.0,0.3,3.447745968118693,True
9,0.519826636649668,-210.0631103515625,0.2012314238842066,2.605107828751206,0.009892171248793602,0.8,0.3,2.8063391776861066,True
10,0.5218142285943029,-170.15847778320312,0.12470707485214766,2.162062040276826,0.009937959723174572,0.5,0.3,2.286769104212124,True
11,0.5238104693591593,-162.1063995361328,0.09397490304176645,2.090518796175718,0.009981203824281693,0.2,0.3,2.1844936957138543,True
12,0.5258110729977487,-147.32252502441406,0.06795507393438549,1.9189969818070531,0.01000301819294691,0.0,0.3,1.9869520547865818,True
13,0.5278159305453298,-177.102783203125,0.0939709002511778,2.290475712262094,0.01002428773790598,0.0,0.3,2.3844466090099674,True
14,0.5298173824325202,-238.6375732421875,0.16036404994161743,3.0334927405640486,0.01000725943595171,0.0,0.3,3.19385676047973,True
15,0.5318112749606368,-301.894287109375,0.24752939022304316,3.7765305373594176,0.009969462640583515,0.0,0.3,4.024059927582198,True
16,0.5337971329689023,-366.55108642578125,0.3577505937838742,4.519570709958673,0.009929290041327477,0.0,0.3,4.87732130374327,True
17,0.5357744231820104,-399.4087829589844,0.4223550737312243,4.8911135489344595,0.009886451065540314,0.0,0.3,5.313468622665892,True
18,0.5377474183216688,-334.0614929199219,0.29961352388087104,4.148135024301708,0.009864975698292255,0.0,0.3,4.447748548182926,True
19,0.5397301135584709,-270.06121826171875,0.20122833260708292,3.4050865238159895,0.009913476184010506,0.0,0.3,3.6063147814775336,True
20,0.5417219366878268,-207.65664672851562,0.12470476177115614,2.662040884353221,0.009959115646779537,0.0,0.3,2.7867456352078195,True
21,0.5437223801389333,-177.10464477539062,0.0939729507077228,2.2904977827444672,0.010002217255532742,0.0,0.3,2.3844707299488848,True
22,0.5457271693274375,-147.3208770751953,0.06795345519943109,1.918976054057479,0.010023945942521095,0.0,0.3,1.9869295083023644,True
23,0.5477361951023336,-147.31919860839844,0.06795181680439266,1.9189548711255193,0.010045128874480724,0.0,0.3,1.9869066869751009,True
