Hour,SoC,Reward,Loss,BESS_P_MW,PV,Wind,GridCost,PV_Curtail,VoltageDev,SoC_Dist
0,0.47933290702731984,-0.17464845,0.04431123682137703,0.003926747664809227,0.0,0.3,0.17464844856300488,0.0,0.0,0.0
1,0.46934644191672925,-0.17486356,0.04443300187194565,0.001897428371012211,0.0,0.3,0.17486355699722367,0.0,0.0,0.0
2,0.45950711891055107,-0.2049784,0.0612035543318684,0.0018694713711738587,0.0,0.35,0.2049784078338348,0.0,0.0,0.0
3,0.44956254959106445,-0.4610119,0.08090536305575985,0.0018894681707024574,0.0,0.4,0.2353815888164945,0.0,0.02256302945803168,0.0
4,0.4390277188075216,-1.1890843,0.10327999258758272,0.0020016178488731387,0.1,0.45,0.25604283635891534,0.0,0.09330414409581766,0.0
5,0.42449005575556503,-2.1295028,0.1283412999345862,0.0027621559798717502,0.3,0.5,0.26690791234540256,0.0,0.18625948320275498,0.0
6,0.4034404754638672,-3.178262,0.1565583660701508,0.003999420255422592,0.5,0.55,0.27804089061541504,0.0,0.29002210285329677,0.0
7,0.3762575595786697,-4.2647576,0.18783795183511995,0.005164754018187523,0.8,0.6,0.27948731207331434,0.0,0.39852704763139524,0.0
8,0.3417185266551218,-5.4685507,0.22284998765796343,0.006562416255474091,1.0,0.65,0.2912837564205688,0.0,0.5177266976065003,0.0
9,0.3023589680853642,-6.052535,0.23999786980587398,0.0074783161282539375,1.0,0.7,0.3046244546203809,0.0,0.574791040066775,0.0
10,0.2626517105259393,-5.3220515,0.2193156747739734,0.007544378936290741,0.9,0.7,0.29583212886413435,0.0,0.5026219314923802,0.0
11,0.22616070391316156,-3.4851024,0.16665475785878253,0.006933291256427766,0.7,0.65,0.26547464160753975,0.0,0.3219627840467827,0.0
12,0.19678027653380437,-2.432004,0.13729560933221957,0.005582281202077866,0.5,0.6,0.2542388302143195,0.0,0.2171325797331065,0.0032197234661956453
13,0.17384784041266685,-2.0486705,0.12550139303519736,0.0043571628630161285,0.3,0.55,0.2614644210775907,0.0,0.17349018370576674,0.026152159587333162
14,0.15654578648115453,-2.8436651,0.14421044190651042,0.003287390246987343,0.2,0.5,0.2951598022243047,0.0,0.24615968728267423,0.043454213518845486
15,0.14017736970594047,-4.9969406,0.20136847924825607,0.0031099991872906687,0.1,0.45,0.3660458473418089,0.0,0.4511249522284235,0.05982263029405954
16,0.12197595030853614,-7.509195,0.270085710694445,0.003458269685506821,0.0,0.4,0.4380352433535677,0.0,0.6915111486085399,0.07802404969146387
17,0.10150649967162223,-8.506346,0.29864433533329793,0.0038891956210136414,0.0,0.35,0.46256551319621053,0.0,0.7846793220161888,0.09849350032837778
18,0.07957166296086804,-7.1577363,0.2559862279055419,0.004167618975043297,0.0,0.3,0.42983686017345235,0.0,0.6487042677074009,0.12042833703913197
19,0.06050085099904151,-4.2443676,0.17501224909415153,0.00362345427274704,0.0,0.3,0.3549238741230454,0.0,0.36104455324264073,0.1394991490009585
20,0.04767284522715358,-2.400136,0.12569337752781573,0.0024373210966587068,0.0,0.3,0.29995810384545507,0.0,0.17955235257307256,0.15232715477284642
21,0.03920072140662284,-1.3446623,0.09783834962055235,0.0016097035259008408,0.0,0.3,0.2638203636686285,0.0,0.07592434419693916,0.16079927859337717
22,0.033395325568945686,-0.62014586,0.07377683831792001,0.001103025209158659,0.0,0.3,0.2280298807420138,0.0,0.005890662770591137,0.1666046744310543
23,0.029548468509394774,-0.5334954,0.053379748088543275,0.0007309028413146735,0.0,0.3,0.19259238412212198,0.0,0.0,0.17045153149060524
